id,name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing
623520,"Bote, David",81,0.9,56,73.90363111,0.419753086,0.285714286,0.197530864,0.196428571,0.135802469,7.81642642,1,-0.88805159,25,0.308641975,30,0.37037037
695578,"Wood, James",472,0.90248566,344,73.89699748,0.44279661,0.331395349,0.241525424,0.212209302,0.154661017,7.436867415,17,-1.777294646,128,0.271186441,176,0.372881356
553869,"Díaz, Elias",577,0.902973396,432,73.88506433,0.414211438,0.261574074,0.195840555,0.138888889,0.103986135,7.001263588,11,-9.338226363,145,0.251299827,218,0.377816291
650391,"Jiménez, Eloy",521,0.909249564,396,73.87626484,0.401151631,0.393939394,0.299424184,0.22979798,0.174664107,7.241248081,15,-19.71583124,125,0.239923225,236,0.452975048
621566,"Olson, Matt",1239,0.910360029,913,73.79815655,0.387409201,0.265060241,0.195318805,0.151150055,0.111380145,7.347558337,11,-22.3194012,326,0.263115416,373,0.301049233
641343,"Bauers, Jake",601,0.903759398,447,73.77288852,0.3078203,0.237136465,0.176372712,0.109619687,0.081530782,7.48418208,14,-21.84911686,154,0.256239601,168,0.27953411
681297,"Cowser, Colton",900,0.904522613,659,73.76186981,0.405555556,0.31107739,0.227777778,0.169954476,0.124444444,6.932131678,23,-6.811725824,241,0.267777778,309,0.343333333
682998,"Carroll, Corbin",911,0.912825651,723,73.6931499,0.368825467,0.348547718,0.2766191,0.18395574,0.145993414,7.020155741,5,-17.08909004,188,0.20636663,414,0.454445664
606466,"Marte, Ketel",850,0.91006424,679,73.68302633,0.405882353,0.381443299,0.304705882,0.203240059,0.162352941,7.637226482,6,-2.37677929,171,0.201176471,347,0.408235294
667670,"Rooker, Brent",1012,0.910071942,699,73.68173408,0.371541502,0.324749642,0.2243083,0.180257511,0.124505929,7.079576798,29,14.53518086,313,0.309288538,345,0.340909091
662139,"Varsho, Daulton",819,0.908990011,605,73.66690459,0.344322344,0.239669421,0.177045177,0.110743802,0.081807082,7.628742564,6,-22.6210504,214,0.261294261,279,0.340659341
545341,"Grichuk, Randal",455,0.902777778,366,73.66484429,0.353846154,0.346994536,0.279120879,0.18852459,0.151648352,7.666162154,10,2.127038838,89,0.195604396,189,0.415384615
669065,"Stowers, Kyle",395,0.901826484,264,73.65391496,0.33164557,0.268939394,0.179746835,0.174242424,0.116455696,6.807766203,15,-12.8456023,131,0.33164557,113,0.286075949
682617,"Luciano, Marco",118,0.900763359,85,73.65102186,0.406779661,0.294117647,0.211864407,0.141176471,0.101694915,7.090588475,4,-3.767148948,33,0.279661017,41,0.347457627
679529,"Torkelson, Spencer",600,0.904977376,455,73.63425563,0.303333333,0.27032967,0.205,0.127472527,0.096666667,7.53669815,10,-17.07265107,145,0.241666667,205,0.341666667
680776,"Duran, Jarren",1138,0.911128903,879,73.60089763,0.362038664,0.300341297,0.23198594,0.177474403,0.137082601,7.557940193,21,8.23780981,259,0.227592267,447,0.392794376
642715,"Adames, Willy",1185,0.906656465,861,73.59786866,0.332489451,0.290360046,0.210970464,0.134727062,0.097890295,8.105363502,9,-7.247283889,324,0.273417722,403,0.340084388
668832,"McCann, Kyle",250,0.902527076,143,73.59421856,0.372,0.34965035,0.2,0.167832168,0.096,7.80544264,9,-5.705226372,107,0.428,74,0.296
682668,"Acuña, Luisangel",68,0.931506849,53,73.57039721,0.397058824,0.301886792,0.235294118,0.20754717,0.161764706,7.319371765,0,4.014137084,15,0.220588235,31,0.455882353
683146,"Baty, Brett",263,0.900684932,196,73.50918202,0.380228137,0.193877551,0.144486692,0.086734694,0.064638783,7.614422129,5,-11.03478075,67,0.254752852,86,0.326996198
